epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,3.362223,0.708815,6.24213,0.90178,
001,3.370901,0.710520,6.24213,0.90178,
001,3.359399,0.708013,6.24213,0.90178,
001,3.357128,0.708774,6.24213,0.90178,
002,1.511568,0.373312,5.03840,0.80344,
002,1.497678,0.369891,5.03840,0.80344,
002,1.500502,0.370774,5.03840,0.80344,
002,1.507592,0.372429,5.03840,0.80344,
003,1.053866,0.269539,6.79684,0.86131,
003,1.037566,0.265905,6.79684,0.86131,
003,1.054933,0.270646,6.79684,0.86131,
003,1.046545,0.265346,6.79684,0.86131,
004,0.833632,0.217303,6.90185,0.89192,
004,0.847126,0.221333,6.90185,0.89192,
004,0.848864,0.220084,6.90185,0.89192,
004,0.843012,0.219404,6.90185,0.89192,
005,0.733814,0.192245,5.29232,0.81236,
005,0.732591,0.192570,5.29232,0.81236,
005,0.722196,0.190834,5.29232,0.81236,
005,0.729522,0.191453,5.29232,0.81236,
006,0.658326,0.173929,6.04809,0.83032,
006,0.654822,0.171909,6.04809,0.83032,
006,0.657650,0.173777,6.04809,0.83032,
006,0.651630,0.173432,6.04809,0.83032,
007,0.609633,0.160924,4.90832,0.74823,
007,0.605099,0.159045,4.90832,0.74823,
007,0.610044,0.162467,4.90832,0.74823,
007,0.607506,0.162223,4.90832,0.74823,
008,0.578646,0.153542,4.87608,0.78782,
008,0.568130,0.151644,4.87608,0.78782,
008,0.571041,0.151623,4.87608,0.78782,
008,0.576277,0.154547,4.87608,0.78782,
009,0.539620,0.143501,5.95099,0.80167,
009,0.546064,0.144598,5.95099,0.80167,
009,0.550621,0.146273,5.95099,0.80167,
009,0.543503,0.145105,5.95099,0.80167,
010,0.527050,0.141643,6.37462,0.80724,
010,0.525331,0.140557,6.37462,0.80724,
010,0.520515,0.139308,6.37462,0.80724,
010,0.528212,0.140323,6.37462,0.80724,
011,0.517442,0.138587,4.72057,0.76998,
011,0.511034,0.137277,4.72057,0.76998,
011,0.508462,0.137359,4.72057,0.76998,
011,0.515098,0.139247,4.72057,0.76998,
012,0.499988,0.133277,4.83596,0.75557,
012,0.492758,0.132221,4.83596,0.75557,
012,0.492415,0.131643,4.83596,0.75557,
012,0.498294,0.132495,4.83596,0.75557,
013,0.494868,0.133044,7.15401,0.86472,
013,0.483685,0.130292,7.15401,0.86472,
013,0.493452,0.132495,7.15401,0.86472,
013,0.487735,0.131460,7.15401,0.86472,
014,0.482536,0.129612,5.74881,0.79813,
014,0.482387,0.130170,5.74881,0.79813,
014,0.478178,0.130810,5.74881,0.79813,
014,0.476478,0.128779,5.74881,0.79813,
015,0.476391,0.127399,5.59281,0.79256,
015,0.471027,0.127053,5.59281,0.79256,
015,0.475476,0.128820,5.59281,0.79256,
015,0.467480,0.126160,5.59281,0.79256,
016,0.464873,0.125246,5.42356,0.80097,
016,0.460184,0.124647,5.42356,0.80097,
016,0.469678,0.126952,5.42356,0.80097,
016,0.462861,0.124566,5.42356,0.80097,
017,0.461632,0.124353,5.77333,0.78858,
017,0.457485,0.123541,5.77333,0.78858,
017,0.460389,0.123926,5.77333,0.78858,
017,0.459648,0.123886,5.77333,0.78858,
018,0.450160,0.121936,7.22018,0.88496,
018,0.457257,0.123459,7.22018,0.88496,
018,0.455353,0.122972,7.22018,0.88496,
018,0.454553,0.122383,7.22018,0.88496,
019,0.448123,0.121479,6.61765,0.78984,
019,0.446600,0.121297,6.61765,0.78984,
019,0.446701,0.121297,6.61765,0.78984,
019,0.443870,0.119479,6.61765,0.78984,
020,0.445478,0.121175,4.58059,0.72749,
020,0.451528,0.121398,4.58059,0.72749,
020,0.443586,0.120017,4.58059,0.72749,
020,0.445776,0.120535,4.58059,0.72749,
021,0.437529,0.118637,4.71214,0.76366,
021,0.442418,0.120058,4.71214,0.76366,
021,0.444128,0.120149,4.71214,0.76366,
021,0.437010,0.117428,4.71214,0.76366,
022,0.440261,0.119347,4.76179,0.76069,
022,0.438443,0.118698,4.76179,0.76069,
022,0.436822,0.118241,4.76179,0.76069,
022,0.436417,0.117703,4.76179,0.76069,
023,0.438936,0.119804,5.26913,0.80780,
023,0.430121,0.115875,5.26913,0.80780,
023,0.440602,0.119469,5.26913,0.80780,
023,0.431994,0.116220,5.26913,0.80780,
024,0.434511,0.118342,5.89316,0.78618,
024,0.430396,0.117540,5.89316,0.78618,
024,0.438352,0.118789,5.89316,0.78618,
024,0.429897,0.116565,5.89316,0.78618,
025,0.427628,0.116484,4.83885,0.73191,
025,0.434753,0.118078,4.83885,0.73191,
025,0.432121,0.116769,4.83885,0.73191,
025,0.429214,0.116880,4.83885,0.73191,
026,0.425886,0.115845,5.58531,0.81293,
026,0.428990,0.116403,5.58531,0.81293,
026,0.424772,0.115154,5.58531,0.81293,
026,0.430513,0.116515,5.58531,0.81293,
