epoch,train_loss,train_error,valid_loss,valid_error,test_error
035,0.963177,0.281461,4.80810,0.77082,
035,0.965126,0.278266,4.80810,0.77082,
035,0.972815,0.282335,4.80810,0.77082,
036,0.950437,0.276128,4.95200,0.78541,
036,0.955283,0.275967,4.95200,0.78541,
036,0.952653,0.278794,4.95200,0.78541,
036,0.964059,0.280358,4.95200,0.78541,
037,0.944163,0.276128,5.04606,0.79390,
037,0.950744,0.275806,5.04606,0.79390,
037,0.937786,0.274587,5.04606,0.79390,
037,0.948828,0.275921,5.04606,0.79390,
038,0.933859,0.272288,5.07698,0.81739,
038,0.933373,0.271323,5.07698,0.81739,
038,0.932665,0.270426,5.07698,0.81739,
038,0.932014,0.270472,5.07698,0.81739,
039,0.925206,0.269714,5.52212,0.76501,
039,0.929354,0.271944,5.52212,0.76501,
039,0.922485,0.268610,5.52212,0.76501,
039,0.930790,0.270426,5.52212,0.76501,
040,0.914367,0.266840,6.02606,0.86217,
040,0.916462,0.264656,6.02606,0.86217,
040,0.919072,0.267093,6.02606,0.86217,
040,0.923506,0.269185,6.02606,0.86217,
041,0.922595,0.268771,6.14419,0.80527,
041,0.909644,0.263575,6.14419,0.80527,
041,0.908474,0.265483,6.14419,0.80527,
041,0.913143,0.264403,6.14419,0.80527,
042,0.901051,0.262863,6.32594,0.86808,
042,0.905118,0.264656,6.32594,0.86808,
042,0.906556,0.264035,6.32594,0.86808,
042,0.919159,0.267369,6.32594,0.86808,
043,0.902396,0.263162,5.82457,0.82096,
043,0.891277,0.261092,5.82457,0.82096,
043,0.905655,0.262656,5.82457,0.82096,
043,0.896187,0.261345,5.82457,0.82096,
044,0.888597,0.259322,4.52130,0.76029,
044,0.897668,0.261391,4.52130,0.76029,
044,0.893309,0.261184,4.52130,0.76029,
044,0.888254,0.259483,4.52130,0.76029,
045,0.884588,0.260541,4.36709,0.73924,
045,0.890414,0.258449,4.36709,0.73924,
045,0.878426,0.257092,4.36709,0.73924,
045,0.887557,0.259828,4.36709,0.73924,
046,0.878930,0.254058,5.47908,0.81565,
046,0.871982,0.254127,5.47908,0.81565,
046,0.885605,0.258449,5.47908,0.81565,
046,0.880097,0.257368,5.47908,0.81565,
047,0.866239,0.251713,4.38689,0.75096,
047,0.874321,0.255345,4.38689,0.75096,
047,0.879985,0.255575,4.38689,0.75096,
047,0.878224,0.254196,4.38689,0.75096,
048,0.860136,0.252241,4.56468,0.77295,
048,0.865697,0.253046,4.56468,0.77295,
048,0.868098,0.252081,4.56468,0.77295,
048,0.873830,0.257138,4.56468,0.77295,
049,0.870108,0.255069,4.28339,0.75051,
049,0.864335,0.252862,4.28339,0.75051,
049,0.864772,0.254586,4.28339,0.75051,
049,0.869049,0.254885,4.28339,0.75051,
050,0.867496,0.251943,7.15640,0.84961,
050,0.851367,0.248632,7.15640,0.84961,
050,0.858031,0.250770,7.15640,0.84961,
050,0.859347,0.250517,7.15640,0.84961,
051,0.355246,0.097775,2.71821,0.55896,
051,0.348276,0.094625,2.71821,0.55896,
051,0.355652,0.096510,2.71821,0.55896,
051,0.353499,0.097821,2.71821,0.55896,
052,0.243278,0.064233,2.72944,0.55856,
052,0.245673,0.065704,2.72944,0.55856,
052,0.246798,0.065842,2.72944,0.55856,
052,0.242273,0.063037,2.72944,0.55856,
053,0.208185,0.054094,2.85408,0.56010,
053,0.206540,0.053451,2.85408,0.56010,
053,0.208675,0.053979,2.85408,0.56010,
053,0.208375,0.053520,2.85408,0.56010,
054,0.186370,0.047910,2.90455,0.56164,
054,0.182674,0.046140,2.90455,0.56164,
054,0.184196,0.046186,2.90455,0.56164,
054,0.185304,0.046830,2.90455,0.56164,
055,0.169936,0.042738,3.07562,0.56656,
055,0.169108,0.042830,3.07562,0.56656,
055,0.166569,0.040439,3.07562,0.56656,
055,0.166328,0.040990,3.07562,0.56656,
056,0.159697,0.038921,3.12629,0.57405,
056,0.155951,0.038209,3.12629,0.57405,
056,0.157733,0.039220,3.12629,0.57405,
056,0.155471,0.038117,3.12629,0.57405,
057,0.150339,0.036921,3.07672,0.56199,
057,0.147149,0.035588,3.07672,0.56199,
057,0.149583,0.035887,3.07672,0.56199,
057,0.150947,0.038485,3.07672,0.56199,
058,0.144961,0.035841,3.11878,0.57341,
058,0.140883,0.032668,3.11878,0.57341,
058,0.142735,0.034921,3.11878,0.57341,
058,0.141351,0.032806,3.11878,0.57341,
059,0.139594,0.032898,3.32688,0.58369,
059,0.140885,0.034346,3.32688,0.58369,
059,0.135902,0.032714,3.32688,0.58369,
059,0.138389,0.034185,3.32688,0.58369,
060,0.138105,0.032921,3.51991,0.59024,
060,0.133866,0.031174,3.51991,0.59024,
060,0.137214,0.034277,3.51991,0.59024,
060,0.135868,0.032783,3.51991,0.59024,
061,0.138050,0.033910,3.46860,0.57837,
061,0.137378,0.034369,3.46860,0.57837,
061,0.133106,0.032139,3.46860,0.57837,
061,0.134002,0.032300,3.46860,0.57837,
062,0.133296,0.032622,3.31424,0.57356,
062,0.136837,0.034622,3.31424,0.57356,
062,0.135498,0.033496,3.31424,0.57356,
